FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2491	NA20348	-0.2614598	-0.006434391	0.06963862	0.01477498	-0.02293307	0.004978588	0.006183774	-0.01072868	-0.01157651	-0.004399217
2471	NA20289	-0.219599	-0.0181195	0.08236608	0.0163886	-0.03692021	0.02325196	-0.01353057	0.02604551	0.003154292	-0.01943259
2489	NA20344	-0.2113056	-0.02074749	0.07994169	-0.005802901	-0.02654878	0.03086975	0.008258243	-0.02577194	-0.003578771	-0.01861435
2483	NA20333	-0.2629825	-0.005114468	0.07533922	0.01570333	-0.02891856	0.002668541	0.001611186	0.01929284	-0.005552271	-0.002002136
2466	NA20277	-0.2613741	0.004728163	0.07166297	0.0009588654	-0.01173671	0.01066907	-0.01077539	-0.0009496195	0.00319226	0.002873636
2476	NA20300	-0.125725	0.0324512	0.09164828	-0.03530965	0.1068117	-0.005025012	0.005397789	-0.0114821	-0.00568963	0.002577504
2418	NA19819	-0.1993976	-0.04094584	0.06259641	0.007090189	-0.01667394	-0.01143242	0.01848918	0.0107944	-0.00923134	-0.002185327
2488	NA20343	-0.1898926	-0.03983333	0.07378561	0.003989051	-0.04552724	-0.008159566	-0.01065109	0.003754834	-0.00743273	0.004324609
2357	NA19625	-0.1511609	0.03528674	0.09930431	-0.005949531	0.09732907	0.01057885	0.0038811	0.006637538	0.01003669	0.004876688
2483	NA20332	-0.232366	-0.02641637	0.07583738	0.0106091	-0.03483512	-0.001047025	0.003017044	0.01979561	-0.002705618	-0.01061546
2367	NA19700	-0.2610206	0.003756814	0.07310626	0.01108237	-0.02769387	0.008892824	0.002754098	0.02014991	-0.0260695	-0.009595557
2472	NA20291	-0.336477	0.05466154	0.07161563	0.01091325	-0.01676908	0.001662342	0.004149518	-0.01187727	-0.006918144	-0.005479057
2488	NA20342	-0.1281812	-0.07586099	0.05159593	0.002193438	-0.04664202	-0.01261469	0.004678183	-0.01929298	-0.01991306	0.01078612
2484	NA20334	-0.1461761	-0.07617654	0.06408768	0.006672504	-0.03552743	-0.01347684	0.01337978	0.03662388	-0.03011437	-0.04055594
2494	NA20356	-0.269548	0.002290413	0.07568405	0.01047077	-0.007976566	-0.01508448	-0.01149584	0.01853391	-0.01608884	-0.00346222
2472	NA20292	-0.2016237	-0.01982325	0.06104709	-0.003581417	-0.0181617	0.00232802	-2.584478e-05	-0.00150476	0.01428289	-0.003205378
2492	NA20350	-0.2264619	-0.01582292	0.07112819	-0.008567998	-0.0273095	0.01155326	0.002348243	-0.01068402	0.01528899	-0.01270635
2467	NA20279	-0.1265277	-0.08468529	0.063208	-0.002243763	-0.03888613	-0.003529635	0.04017203	-0.03249455	0.01213563	-0.0334516
2470	NA20288	-0.2573414	0.00747527	0.07453616	0.01656873	-0.009360287	3.676986e-05	0.01364775	-0.01670522	0.00837148	0.009203502
2469	NA20284	-0.1930522	-0.03729057	0.07764392	-0.007407173	-0.03384945	0.00972491	0.04684702	-0.0119255	0.01068883	-0.03577227
2371	NA19712	-0.2768111	0.01914918	0.06312994	0.01067324	-0.01202277	0.002880553	0.01292354	-0.006436918	-0.005827742	0.0001793658
2481	NA20322	-0.2229086	-0.02992981	0.07337426	0.005925728	-0.02278242	0.01323075	-0.01289108	-0.007720243	-0.02284364	0.001519008
2368	NA19704	-0.2570961	0.006461293	0.07213951	0.01544966	-0.01748393	0.02402352	-0.004950359	-0.001236458	-0.01719377	0.001204564
2437	NA19714	-0.15563	-0.06328263	0.07795797	-0.01184357	-0.0363992	-0.01570166	0.005157589	0.01018095	-0.02743538	-0.03008625
2367	NA19701	-0.2564126	0.005830575	0.08643847	0.01190506	-0.006284369	0.002714595	0.00572705	0.01176652	-0.008683053	-0.0255649
2494	NA20358	-0.2763092	0.01246148	0.08327478	0.02324926	-0.01651307	-0.02775792	0.001477798	0.005771883	-0.009261573	-0.01900184
2496	NA20363	-0.1996069	-0.02509598	0.065102	0.01142512	-0.0314058	0.01862181	-0.03308996	0.02532003	-0.02753264	-0.02504961
2495	NA20360	-0.2221632	-0.02118586	0.07136299	0.002136517	-0.03701982	0.01882347	-0.004778661	0.02326728	-0.01390153	-0.0124641
2433	NA20129	-0.2076086	-0.00369368	0.06970283	-0.006365231	0.0100153	0.00857049	0.002955595	-0.009004701	0.01060628	0.01259112
2368	NA19705	-0.2762968	0.006517076	0.07738727	0.0130245	-0.02486931	0.04752929	0.008025385	0.006058645	-0.01684677	0.004374192
2424	NA19836	-0.2405911	-0.004042066	0.07579903	0.003429543	-0.03844698	0.008548079	0.01631875	0.01544886	-0.02110814	0.003176556
2480	NA20319	-0.1830473	-0.035617	0.08498604	-0.002623189	-0.007133783	-0.001598023	-0.0197466	0.01032567	-0.002831649	-0.006478941
2489	NA20345	-0.2359789	-0.01293469	0.06955693	0.001161291	-0.0324458	0.02925384	0.008494233	-0.02395772	0.006534084	-0.00261165
2477	NA20302	-0.2293362	-0.01365972	0.08996069	0.002929179	-0.03131817	0.007509642	0.04024113	-0.01987989	0.01243553	-0.02590696
2371	NA19711	-0.2724834	0.01073304	0.06945883	0.007833876	-0.0255099	0.03143994	-0.009601476	-0.01013074	0.002096246	-0.01231072
2490	NA20347	-0.2154161	-0.01980815	0.07885601	9.008948e-05	-0.03686348	0.002604151	-0.003931598	-0.00658605	-0.007092939	-0.009068038
2367	NA19702	-0.2605816	0.009110528	0.07788499	0.01379796	-0.01627792	0.006154321	0.005693194	0.03151186	-0.02562513	-0.02297071
2446	NA20126	-0.1909624	-0.03839627	0.07075106	0.009973993	-0.04058979	-5.293156e-05	0.009100729	0.01532516	0.01936624	-0.003587075
2496	NA20364	-0.2038878	-0.02175522	0.06897124	0.009808424	-0.02470361	0.01506984	-0.02190881	0.007410326	-0.0238911	-0.01070874
2485	NA20336	-0.1294014	-0.08436579	0.06269698	0.009062643	-0.03076667	-0.008793799	0.01240334	0.04654877	-0.04144421	-0.03882002
2430	NA19915	-0.2580452	-0.00327653	0.07010159	0.01473171	-0.02467314	0.002465391	0.001718126	-0.007776158	0.02986661	-0.02250564
2369	NA19708	-0.1700731	-0.04466493	0.06082862	-0.002232114	-0.012207	-0.003810253	0.02588775	0.01123408	-0.01506534	0.03220534
2487	NA20341	-0.2303915	-0.009325578	0.07683753	0.018918	-0.02205109	0.02412596	-0.002616455	0.02389549	0.01059144	-0.02570404
2431	NA19918	-0.2968141	0.01432661	0.09434698	0.004656948	-0.01049945	0.01342335	0.03707264	0.0523543	0.01607742	-0.01294199
2418	NA19828	-0.1935363	-0.03723682	0.06940219	0.004022329	-0.01902456	-0.0009779031	0.01851414	0.01417955	-0.01565949	0.002841654
2437	NA19985	-0.1967998	-0.03850184	0.07636518	-0.008208274	-0.0330453	-0.00900425	0.01025648	0.00967166	-0.03561385	-0.01696212
2466	NA20276	-0.2477387	-0.006729877	0.066233	-0.001476875	-0.02447855	0.0003809094	-0.005176774	-0.001083138	-0.004321183	0.00399635
2446	NA20127	-0.2859327	0.02498438	0.07910063	0.01157874	-0.009330227	-0.004633802	0.0148375	-0.0009068722	0.0003130183	-0.01480849
2436	NA19983	-0.223369	-0.02375862	0.06508458	-0.003372306	-0.03376839	-0.004381629	0.02179442	-0.006186887	-0.0462857	-0.02756356
1328	NA06989	0.1944915	-0.2902696	0.02239778	-0.03039207	-0.06874197	0.003834364	0.005228303	-0.00105142	-0.01518548	-0.0008069058
1377	NA11891	0.1981686	-0.2918687	0.02620374	-0.04893292	-0.06217468	0.005953634	0.01082729	0.01676901	-0.02536927	-0.006246655
1349	NA11843	0.1990059	-0.2910264	0.02829106	-0.04801122	-0.0641469	-0.01006208	0.0003205306	0.01158573	-0.0004505745	-0.001229477
1330	NA12341	0.1833022	-0.2864957	0.01479017	-0.03363215	-0.06800059	0.001200981	-0.002588615	-0.01335144	0.01757976	-0.005483456
1444	NA12739	0.1943121	-0.2982154	0.01938081	-0.04485699	-0.06736414	-0.009891184	0.002722117	0.03145302	-0.02516213	-0.01912114
1344	NA10850	0.1886096	-0.2900179	0.01164754	-0.04171412	-0.05743999	-0.008757266	-0.009175958	0.01724491	-0.004095834	-0.01030196
1328	NA06984	0.1964428	-0.2902252	0.02484594	-0.0360016	-0.05740566	0.002668361	0.00417008	0.001415517	0.001426573	-0.002562437
1463	NA12877	0.1939214	-0.2936821	0.02674	-0.04345849	-0.07420123	-0.008745195	0.01280575	0.04356621	-0.001364929	0.005917011
1418	NA12275	0.1876827	-0.2944296	0.03252038	-0.04343103	-0.05848983	-0.001141818	0.01023573	-0.02065794	-0.01135247	-0.001734651
13291	NA06986	0.1901583	-0.2943473	0.02735466	-0.0237437	-0.07897726	-0.008421854	0.0007036351	0.02634905	-0.01477288	0.01740999
1418	NA12272	0.1838821	-0.2985405	0.01073072	-0.04102043	-0.07503156	-0.0003779785	-0.004025249	-0.003614906	0.007080095	0.007023613
1424	NA10845	0.1911551	-0.2923484	0.01984	-0.03170895	-0.06930918	-0.0157684	0.01698192	0.01610503	-0.004330191	-0.01527354
1346	NA10852	0.1957558	-0.2966524	0.01761806	-0.02285001	-0.05855275	0.008170836	0.003017669	0.01126736	-0.002835768	0.001743747
13292	NA07051	0.1995406	-0.2970516	0.0311406	-0.03401438	-0.0692667	0.008370607	-0.003566078	0.01827452	-0.003634416	-0.02903045
1354	NA12400	0.2060422	-0.2897359	0.02512098	-0.03731577	-0.05915307	0.007415325	0.00906886	0.007574344	-0.00485197	0.007185986
13281	NA12344	0.1989187	-0.2916808	0.008568727	-0.02876659	-0.06545043	-0.01538975	-0.005945673	0.0494215	-0.0427142	0.005790905
1451	NA12777	0.198299	-0.2999912	0.02014702	-0.04784585	-0.07057872	-0.009971136	-0.01288041	0.001642124	-0.002731488	0.004476932
1421	NA12287	0.1940307	-0.3005357	0.03052942	-0.03054018	-0.06276588	-0.01003044	-0.00552718	-0.007549199	0.002362089	-0.001615926
1418	NA10837	0.1876153	-0.2976544	0.0142954	-0.03779579	-0.07188151	0.01052669	-0.005429722	0.003854709	0.002401149	-0.01300888
1353	NA12383	0.185764	-0.2983884	0.01840339	-0.03275348	-0.05580108	0.01014478	0.00612882	0.0216067	-0.01606052	-0.008792931
1330	NA12340	0.1892834	-0.2963861	0.03714099	-0.03878749	-0.0627424	-0.0004184925	0.003668625	0.0087934	0.01135045	-0.001482518
1358	NA12708	0.1948527	-0.2822493	0.01992425	-0.03585989	-0.05212441	0.009016609	0.01263319	0.02794842	0.0004550593	-0.007266712
1418	NA12273	0.1915516	-0.2896697	0.005248009	-0.04242426	-0.06079643	0.002553093	-0.004246746	0.009122051	-0.003637633	-0.01403167
1377	NA11892	0.1918442	-0.2940124	0.03117218	-0.02644232	-0.06606691	-0.006978132	0.007330532	0.01964932	-0.02749101	0.006507302
1353	NA12546	0.1921407	-0.293074	0.01856423	-0.0387889	-0.06358332	-0.006886745	-0.0181417	-0.007889626	-0.01291228	-0.02405012
1458	NA12843	0.1876632	-0.2794745	0.0269877	-0.04086449	-0.05910688	0.00156334	0.01300922	0.01594885	-0.01949195	0.01200343
1451	NA12766	0.1994519	-0.2933899	0.03185375	-0.04575491	-0.05132943	-0.01564299	0.0139127	0.0139278	-0.0104627	-0.001515081
13281	NA12348	0.199984	-0.2895253	0.01631294	-0.04187192	-0.05590084	-0.01658527	0.001430614	0.04383475	-0.03206557	-0.002058558
1456	NA12817	0.1823604	-0.3000632	0.02849323	-0.05284043	-0.07008966	-0.002150188	-0.01651996	0.02066457	-0.003096405	0.008434821
1421	NA10840	0.205833	-0.2987462	0.02416159	-0.02986201	-0.07143219	-0.005206834	0.008267149	0.002276855	0.0122462	-0.003283053
13291	NA06997	0.190926	-0.2933174	0.03967843	-0.0380448	-0.08877032	-0.01477765	0.01514774	0.05042579	-0.03931167	0.03081243
1423	NA11917	0.1873563	-0.2815941	0.01715714	-0.02688825	-0.0572638	0.01771365	0.00222388	0.01764016	-0.005954369	-0.007787613
1358	NA12718	0.194855	-0.2891774	0.02004806	-0.03882631	-0.05051705	0.007183333	0.01586461	0.02059978	0.001173154	0.002950267
1421	NA12282	0.1861018	-0.2889061	0.02052756	-0.04542988	-0.05039159	-0.006556978	-0.0003901357	0.01703059	0.009768931	-0.009309543
1423	NA11920	0.1906849	-0.3042193	0.02112726	-0.04115867	-0.07216423	-0.0114128	-0.01303296	-0.00655524	-0.004080605	-0.003653211
1451	NA12776	0.2003184	-0.2856549	0.03105354	-0.0406009	-0.05051902	-0.01845756	0.01310501	0.01125827	-0.008073758	-0.008087535
1421	NA12283	0.1934013	-0.2850315	0.005833164	-0.03628856	-0.05815214	0.007497068	-0.01631341	0.01589429	-0.002495412	0.00397383
13291	NA07435	0.1932074	-0.2940302	0.02568695	-0.0395263	-0.07332408	0.01133345	0.009234673	0.01576062	-0.002556727	0.01260134
1456	NA12828	0.1929496	-0.2888728	0.02754089	-0.04584139	-0.07139708	-0.01091575	-0.01898346	0.01850317	0.003195078	0.01158309
13291	NA07045	0.1984407	-0.2942504	0.04227993	-0.05594008	-0.07922321	-0.02127982	0.01707148	0.04168808	-0.03909032	0.02225934
13292	NA07031	0.2024112	-0.2885445	0.01764764	-0.04901292	-0.08294407	-0.006766511	-0.01277495	0.002795654	-0.01462644	-0.01137925
1330	NA12336	0.1955283	-0.2950569	0.02016165	-0.05226571	-0.06624637	-0.01432458	-0.01958064	0.02569073	-0.02543024	0.005545203
1345	NA07349	0.2051835	-0.2960401	0.03111626	-0.04216928	-0.07472809	0.004116266	-0.005201798	0.01352058	-0.0325935	-0.0370284
1456	NA12827	0.1836965	-0.2965186	0.02996336	-0.04345095	-0.05871031	0.0001829528	-0.004073311	0.01759262	-0.007664157	0.005081119
1353	NA12375	0.1838173	-0.2933514	0.01062409	-0.03760064	-0.06558032	0.0005360082	0.00145187	0.02916594	-0.02385601	-0.005382318
1330	NA12343	0.199016	-0.2859454	0.01472195	-0.04370782	-0.05888807	-0.003559015	-0.01724975	0.01727168	-0.03190877	0.0006361035
1330	NA12335	0.1928394	-0.2896549	0.02662489	-0.04302974	-0.05768411	-0.00749024	0.0005904922	-0.009996295	0.02764451	0.001918652
1451	NA12778	0.1939449	-0.2981727	0.02283258	-0.03246928	-0.05390192	0.01908909	-0.01053276	0.001503045	-0.02746349	0.003302405
1458	NA12832	0.2059495	-0.2957614	0.03673645	-0.0536099	-0.07775482	-0.01030712	0.001531989	0.02931914	-0.02263571	0.006044533
1424	NA11930	0.1869213	-0.2869158	0.01297262	-0.02188306	-0.0647627	-0.009648396	0.0175247	0.02488739	0.005586293	-0.01230651
1463	NA12890	0.1991172	-0.2902957	0.02454666	-0.04086516	-0.06463145	-0.009082362	0.01659252	0.04338975	-0.01710285	0.009707297
13291	NA07037	0.1971507	-0.2988061	0.02879775	-0.03768539	-0.06585198	0.01914364	0.008709479	0.02132337	0.001081105	-0.001170645
1345	NA07347	0.1915539	-0.2981645	0.02519927	-0.03815795	-0.06247008	0.01361329	-0.009634876	0.002749634	-0.01691604	-0.02685549
1456	NA12829	0.1907497	-0.2937681	0.01354086	-0.03251306	-0.05221585	0.005702021	0.0001556935	0.006103938	-0.01620808	0.001284661
1444	NA12749	0.1962937	-0.2954397	0.02332908	-0.03545627	-0.06281012	-0.008657325	-0.000941689	0.0271099	-0.01521158	-0.01616731
1377	NA11894	0.1883558	-0.2918893	0.02586871	-0.0362137	-0.06425946	-0.007992994	0.01167606	0.005381075	-0.01481633	-0.01209773
1421	NA12286	0.1986974	-0.2887843	0.01421724	-0.023036	-0.0686949	-0.005740357	0.01272302	0.01052756	-0.002011078	-0.01212934
1377	NA10865	0.1966017	-0.2991226	0.02801274	-0.03983853	-0.07254241	-0.002321756	0.006629279	0.006460969	-0.03578401	0.003640066
1377	NA10864	0.1982792	-0.2896839	0.02916567	-0.03748374	-0.06172845	-0.007629685	0.0003990887	0.01600441	-0.02026894	-0.0251051
1349	NA10853	0.1972022	-0.2863607	0.02095788	-0.0454167	-0.05900778	-0.01179963	-0.00921687	0.003139426	-0.004755067	0.006771613
1423	NA11918	0.1971339	-0.2942319	0.0132732	-0.03641904	-0.05382691	0.001977393	-0.007280066	0.01009477	-0.01271234	0.01261725
1456	NA12830	0.2043713	-0.2840268	0.02966066	-0.04418149	-0.05585345	0.01388492	-0.01001658	0.00535332	-0.01370918	0.001608913
1456	NA12818	0.2032662	-0.2907994	0.01586796	-0.04472792	-0.05055828	0.01181407	-0.006145782	0.004266049	-0.02646765	0.0007904634
1418	NA10836	0.1893273	-0.2961747	0.02822397	-0.03998681	-0.06504056	0.002339237	0.01451438	-0.01782969	-0.01253796	-0.01191319
1377	NA11893	0.2018751	-0.2863308	0.02336987	-0.03295516	-0.05087639	-0.003966488	-0.009352941	0.01197803	-0.02219258	-0.01579195
1423	NA11919	0.1947144	-0.2961	0.008930594	-0.02400805	-0.06051701	-0.01095013	-0.01504393	0.01126715	0.004214564	-0.01423168
1353	NA12489	0.1917969	-0.2950371	0.02593712	-0.03539172	-0.06134922	-0.004506181	-0.008150553	0.0002490126	-0.01810899	-0.008115825
1354	NA12399	0.1884605	-0.2957237	0.01272732	-0.04028675	-0.06132603	0.0008786026	0.002930041	0.001515171	0.001512967	0.01044957
1355	NA12413	0.1958368	-0.2899644	0.01384631	-0.03252483	-0.04765816	0.01045061	-0.004442402	0.01186452	-0.003029759	0.00211147
1423	NA10843	0.1951863	-0.305532	0.01159418	-0.03457632	-0.07277228	-0.01631741	-0.01246185	0.0009048185	0.004502973	-0.01951062
1458	NA12842	0.2004123	-0.3028577	0.02715887	-0.04812486	-0.07344083	-0.008688952	-0.01039498	0.01869712	-0.01625801	-0.0006185136
13281	NA12347	0.1967175	-0.2959037	0.01418211	-0.02768509	-0.0653017	-0.007867491	-0.01080587	0.03722875	-0.03349847	0.0009965867
1345	NA07346	0.2081938	-0.2936751	0.02701732	-0.03343377	-0.07203071	-0.00882932	0.001039672	0.0246938	-0.02936629	-0.02596648
1451	NA12775	0.2046518	-0.2920085	0.03262267	-0.03306025	-0.05035693	0.0002367331	0.005728443	0.01304306	-0.01202931	-0.0005917695
13292	NA07014	0.1977035	-0.2949225	0.02177109	-0.04039749	-0.08015176	-0.006045956	-0.004746502	0.01661133	-0.01113102	-0.02169141
1451	NA12767	0.1997958	-0.3069895	0.0246676	-0.04696301	-0.06436204	0.007015931	-0.02380065	0.00901412	-0.01920398	0.005523643
1463	NA12889	0.194919	-0.2896387	0.02098589	-0.03834599	-0.06207761	-0.003751856	0.003829731	0.01960972	0.0154655	-0.0001711521
1354	NA12386	0.2027633	-0.2931157	0.01544953	-0.04573593	-0.06358304	0.008751381	0.002794089	0.006822746	-5.054432e-05	0.005906579
13291	NA06995	0.1933688	-0.2917091	0.03065911	-0.04185466	-0.06979743	0.02371211	0.004898653	0.01750166	1.848304e-05	0.004142108
1353	NA12376	0.1960704	-0.2995797	0.02337863	-0.03795148	-0.07019465	-0.003439519	-0.02007443	-0.008939882	-0.02181323	-0.02386659
1330	NA12342	0.1972395	-0.2962304	0.02214654	-0.04373667	-0.05906084	-0.02784596	-0.01453204	0.02391518	-0.0162443	0.004899032
1444	NA12748	0.1942711	-0.2875703	0.01360207	-0.03729112	-0.06617685	-0.00288368	-0.005147603	0.0268815	-0.02272809	-0.0167653
1424	NA11931	0.1945825	-0.3030807	0.01918156	-0.03921369	-0.06513167	-0.01136569	0.004604556	0.003432832	-0.01061496	-0.007842416
1346	NA12045	0.1954377	-0.2926874	0.02694018	-0.04418373	-0.06405139	0.0007016686	0.002097079	0.012352	-0.007944557	0.009163146
1444	NA12750	0.2011033	-0.2899532	0.016785	-0.03899157	-0.07044912	0.01152292	-0.01247289	0.01542538	-0.00888185	0.007008042
1350	NA11831	0.1884664	-0.2880038	0.005654762	-0.03734457	-0.05873208	-0.001635853	-0.0001000588	-0.00260707	-0.002961367	-0.004630582
1334	NA12146	0.187859	-0.3037039	0.03180534	-0.04273721	-0.05608247	-0.0136	0.01037802	0.008630728	-0.01833788	0.01453831
1347	NA11882	0.1862945	-0.2970239	0.01647561	-0.02989128	-0.05976869	-0.005139283	0.01384507	0.00408329	-0.03111499	-0.01233496
1340	NA07056	0.1948862	-0.2893057	0.02155344	-0.0354377	-0.05611101	0.008894849	-0.003518983	0.01016684	0.003723607	-0.005222804
1358	NA12707	0.1863097	-0.29302	0.0323917	-0.03983508	-0.05783334	-0.0182384	-0.00145794	0.01519863	-0.005091719	-0.02623465
1408	NA12154	0.2063585	-0.2893611	0.02350709	-0.0325013	-0.05714489	-0.002094393	-0.005608513	0.01172635	-0.03663559	-0.002214403
1447	NA12753	0.1901835	-0.2851971	0.01873806	-0.0349181	-0.05922599	0.007412051	-0.004934504	-0.005783747	-0.0004802037	-0.01640798
1349	NA11839	0.1896716	-0.2877366	0.02404799	-0.03789629	-0.06838349	0.001238541	0.01068733	0.003382746	-0.01738031	-0.02607475
1347	NA10859	0.1953862	-0.2927356	0.01785888	-0.03605197	-0.0630781	-0.01321084	0.0154591	0.007077563	-0.02829669	-0.02591488
1459	NA12875	0.1897953	-0.2916726	0.0264522	-0.02516771	-0.0619715	0.005247503	0.001463472	0.02805807	-0.02350504	-0.009635147
1345	NA07348	0.1975988	-0.2975731	0.02231181	-0.04630973	-0.06640303	-0.0209078	0.001759268	0.02503426	-0.038281	0.01650396
1408	NA12156	0.1962202	-0.2937607	0.03342797	-0.03890191	-0.06948136	-0.001756493	0.01599585	-0.001902831	0.001927542	0.00481049
1346	NA12044	0.195369	-0.2934715	0.02575277	-0.04534781	-0.05475836	0.008687342	-0.01228419	0.01133837	-0.01246338	0.007919667
1362	NA11992	0.1884809	-0.2962492	0.01734735	-0.03931897	-0.05589063	0.003856022	0.003091678	0.009211898	0.003967031	-0.007922522
1350	NA11829	0.2014572	-0.2929404	0.03168335	-0.02196577	-0.05767631	-0.0001527529	0.02021344	0.01293354	0.001275353	-0.004831618
1334	NA12239	0.1931109	-0.2901356	0.01510021	-0.04301544	-0.04765427	-0.02814538	0.02033333	0.02561588	-0.006996224	-0.003466927
1447	NA12762	0.2002924	-0.294999	0.0255145	-0.03054874	-0.05486537	-0.001020991	-0.00120789	-0.0025204	0.0002037667	-0.009649418
1358	NA12716	0.1944088	-0.3072608	0.02039675	-0.03731055	-0.06598198	-0.01953263	0.006010271	0.01565476	0.01010414	-0.0252116
1463	NA12878	0.1918201	-0.2999349	0.03043281	-0.03263888	-0.05971162	-0.02290965	0.007452904	0.03516993	-0.01962638	0.01449839
1350	NA10856	0.2037403	-0.29082	0.034481	-0.02056223	-0.05421541	-0.006361198	0.01487686	0.01020634	-0.004866146	-0.006218274
1459	NA12874	0.1890905	-0.28925	0.02059421	-0.04656237	-0.0588666	0.00795111	-0.007121458	0.03865179	-0.02104611	-0.02116702
